Age,Nutrients,Animal,TissueFullName,Location,Tissue,Exp,Animal ID,a1,a2,t1,t2,tm,i,x2
3,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.628844234,0.371155766,0.751643,2.959868,1.571238442,5378.564405,0.722134
3,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.643772928,0.356227072,0.654348,3.157908,1.546183848,3842.44671,0.804116
3,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.64452851,0.35547149,0.814747,3.064075,1.614318975,5536.469345,0.767523
3,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.671790153,0.328209847,0.662201,2.991017,1.426541342,5336.501901,0.911107
5,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.593901908,0.406098092,0.684523,2.542267,1.438949294,9322.641509,0.877543
5,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.626788428,0.373211572,0.635184,2.668728,1.394126152,7955.947137,0.982662
5,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.641748405,0.358251595,0.688931,2.935214,1.493665467,8731.617647,0.633804
5,WT,1,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.66503773,0.33496227,0.596859,2.68755,1.297161603,8592.592593,0.863514
5,WT,10,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.69165787,0.30834213,0.661428,3.140186,1.425733521,4045.714286,0.823229
5,WT,10,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.69877989,0.30122011,0.49359,2.688754,1.154817542,4605.442177,0.934567
5,WT,10,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.71353704,0.28646296,0.541767,2.895729,1.216089923,4813.868613,0.752824
5,WT,10,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.71507182,0.28492818,0.604512,3.062239,1.304787682,3670.731707,0.918363
1,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.670390669,0.329609331,0.534533,2.701138,1.248666224,4018.518519,0.797531
1,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.705697791,0.294302209,0.539277,2.723433,1.182078936,5040.380048,0.881897
1,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.752483973,0.247516027,0.564671,3.089795,1.189679659,5371.134021,0.818644
1,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day1,0.77069809,0.22930191,0.742618,3.609216,1.399934396,4504.065041,0.907083
3,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.751683301,0.248316699,0.548499,2.465153,1.024436194,6180.89725,0.659325
3,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.755596205,0.244403795,0.624689,2.952116,1.193520991,5662.207358,0.844026
3,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.759777156,0.240222844,0.607421,2.881943,1.153813144,5166.865316,0.983056
3,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day3,0.775340582,0.224659418,0.606519,2.8636,1.113593503,4637.806638,0.72918
5,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.610257204,0.389742796,0.650359,2.845389,1.505856129,11657.58092,0.620206
5,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.620668578,0.379331422,0.653939,2.826987,1.478244388,11947.74347,0.825962
5,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.656184889,0.343815111,0.638321,2.931764,1.42684136,13543.33009,0.965994
5,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day5,0.667651667,0.332348333,0.707785,3.096659,1.501723291,9942.257218,0.788812
7,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.623520413,0.376479587,0.574638,2.631777,1.349108841,5373.98374,0.901838
7,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.657572387,0.342427613,0.476423,2.623997,1.211811639,5280.09828,0.763032
7,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.666672433,0.333327567,0.637846,2.846458,1.374037265,6422.680412,0.87745
7,WT,2,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal2 AL Day7,0.666681205,0.333318795,0.649875,2.876432,1.392028296,4225.672878,0.866898
3,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.696963562,0.303036438,0.522668,2.762202,1.201328406,4409.622887,0.884944
3,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.719423421,0.280576579,0.578017,2.774319,1.194247902,6786.189684,0.779445
3,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.725489096,0.274510904,0.515613,2.6415,1.099192162,5492.831541,0.818825
3,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day3,0.732196245,0.267803755,0.520635,2.689706,1.10152036,4241.869919,0.779835
9,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.62095912,0.37904088,0.578653,3.481595,1.678986691,3752.897543,0.596644
9,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.630035248,0.369964752,0.677495,3.845142,1.849412736,5018.456376,0.700301
9,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.639707287,0.360292713,0.591987,3.468503,1.628374754,4916.461916,1.208333
9,WT,3,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal3 AL Day9,0.640426534,0.359573466,0.613367,3.528746,1.661659933,5349.879904,0.671035
5,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.662677965,0.337322035,0.558915,2.721269,1.288324652,5213.207547,0.699009
5,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.671071322,0.328928678,0.526268,2.803018,1.275156368,4067.625899,0.737428
5,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.705279865,0.294720135,0.566824,3.096845,1.312472132,4426.829268,0.683015
5,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day5,0.725462025,0.274537975,0.577609,3.137252,1.280328205,5449.275362,1.102811
7,WT,4,Germline,NA,Germline,CMFLIM10,CMFLIM10 Animal4 AL Day7,0.685311133,0.314688867,0.587324,2.818242,1.289369058,4888.888889,0.944927
