Age,Nutrients,Animal,TissueFullName,Location,Tissue,Exp,Animal ID,a1,a2,t1,t2,tm,i,x2
1,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.710009643,0.289990357,0.58454,2.9100555,1.237723149,5351.375233,0.95408
1,WT,4,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.639732157,0.360267843,0.5548655,2.945077,1.409578309,10687.58046,0.9981765
1,WT,4,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.7167541,0.283245901,0.6294365,3.0468735,1.301784275,11895.97296,1.0686145
1,WT,4,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.677202802,0.322797199,0.5758245,3.1142035,1.381262077,9566.999626,1.060193
1,WT,4,PM,NA,PM,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.710730208,0.289269792,0.603892,2.8386195,1.222181832,14161.83339,1.1373685
11,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.392797926,0.607202074,0.980733,5.5676965,3.672753574,22319.79368,0.646439
11,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.629037209,0.370962791,0.6443815,3.375115,1.644167131,7779.950743,0.7553345
11,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.58144712,0.418552881,0.512213,3.301186,1.679403789,13940.88961,0.970295
11,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.587998167,0.412001834,0.56134,3.527709,1.781750827,9316.539434,1.1811145
1,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.752346076,0.247653924,0.536823,2.8026965,1.08994004,6341.16336,1.2169365
1,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.667120299,0.332879701,0.587004,3.0992305,1.402438094,8746.239974,0.857305
1,WT,1,Cranial BWM,Cranial,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.793772039,0.206227962,0.5297025,2.7246015,0.9953764,5514.170611,0.851259
1,WT,1,Cranial Hypodermis,Cranial,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.644036302,0.355963699,0.523914,2.981568,1.400836412,5389.936452,0.875675
1,WT,1,PM,NA,PM,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.743600405,0.256399596,0.555056,2.58064,1.068856184,9710.290991,0.948775
