Age,Nutrients,Animal,TissueFullName,Location,Tissue,Exp,Animal ID,t h a1,t h t1,t h t2,t h i,t h tm,h h a1,h h t1,h h t2,h h i,h h tm,t bwm a1,t bwm t1,t bwm t2,t bwm i,t bwm tm,h bwm a1,h bwm t1,h bwm t2,h bwm i,h bwm tm,pm a1,pm t1,pm t2,pm i,pm tm,g a1,g t1,g t2,g i,g tm
1,WT,4,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal4 AL Day1,0.639732157,0.5548655,2.945077,10687.58046,1.409578309,0.677202802,0.5758245,3.1142035,9566.999626,1.381262077,0.710009643,0.58454,2.9100555,5351.375233,1.237723149,0.7167541,0.6294365,3.0468735,11895.97296,1.301784275,0.710730208,0.603892,2.8386195,14161.83339,1.222181832,#N/A,#N/A,#N/A,#N/A,#N/A
11,WT,1,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.392797926,0.980733,5.5676965,22319.79368,3.672753574,0.58144712,0.512213,3.301186,13940.88961,1.679403789,#N/A,#N/A,#N/A,#N/A,#N/A,0.629037209,0.6443815,3.375115,7779.950743,1.644167131,0.587998167,0.56134,3.527709,9316.539434,1.781750827,#N/A,#N/A,#N/A,#N/A,#N/A
1,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day1,0.667120299,0.587004,3.0992305,8746.239974,1.402438094,0.644036302,0.523914,2.981568,5389.936452,1.400836412,0.752346076,0.536823,2.8026965,6341.16336,1.08994004,0.793772039,0.5297025,2.7246015,5514.170611,0.9953764,0.743600405,0.555056,2.58064,9710.290991,1.068856184,#N/A,#N/A,#N/A,#N/A,#N/A
3,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day3,0.717631025,0.508739,2.9675645,9468.911863,1.182594556,0.639144999,0.576644,3.0094745,11905.55954,1.444142734,0.696686305,0.5699655,2.821689,4330.295106,1.259576713,0.705164436,0.611208,2.968357,5367.336626,1.288156951,0.649677436,0.672526,2.819964,9596.745471,1.438632252,0.644150719,0.706922,3.027546,5357.533153,1.558711145
5,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day5,0.708139573,0.5185775,2.9759225,10671.93401,1.259939465,0.668263246,0.53498,3.0469205,5183.117399,1.377409526,0.735922463,0.5196865,2.7074605,10460.19827,1.121238138,0.785304521,0.4847255,2.738635,7082.5941,0.963877705,0.731319073,0.5973535,2.7410115,9668.472793,1.148044249,0.634268417,0.6598535,2.678139,8662.10512,1.416537723
7,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day7,#N/A,#N/A,#N/A,#N/A,#N/A,0.710860686,0.5171525,2.7233605,3426.924214,1.162007188,0.759279192,0.5416485,2.697497,9026.722372,1.072900636,0.798386849,0.475951,2.4584085,3211.867174,0.889136911,0.740183568,0.5213955,2.431595,3058.541421,1.025163626,#N/A,#N/A,#N/A,#N/A,#N/A
9,WT,1,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal1 AL Day9,0.782774156,0.502833,2.844323,8599.644532,1.009302432,0.795841437,0.4645735,2.739584,8523.110813,0.945777459,0.721497308,0.5207625,2.3872515,7314.707671,1.027960612,0.695497916,0.6471865,2.836505,8768.58507,1.319963959,0.676392111,0.6247495,2.930606,8389.816287,1.374340346,#N/A,#N/A,#N/A,#N/A,#N/A
1,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day1,0.64949106,0.573004,2.9252115,10388.02461,1.350948895,0.689437297,0.600608,3.093144,6951.714943,1.373979438,0.736657157,0.5873625,2.882848,5287.224792,1.190394026,0.734940126,0.5573005,2.8269815,6470.655806,1.134518806,0.728957913,0.566608,2.671924,9090.004406,1.148103861,#N/A,#N/A,#N/A,#N/A,#N/A
5,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day5,0.717651049,0.575088,3.1421675,11106.76975,1.290257932,0.692118993,0.5499415,2.9336975,5380.159238,1.276509573,0.751571639,0.5334725,2.683223,8683.379351,1.046085246,0.775744738,0.557596,2.703443,6692.024037,1.025368302,0.746562465,0.5605505,2.5316595,8428.866332,1.046061947,0.706158465,0.5731395,2.978984,4325.578232,1.260438803
9,WT,10,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal10 AL Day9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.727142143,0.549894,3.2035705,4355.361599,1.266168955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,WT,11,Caudal Hypodermis,Caudal,Hypodermis,CMFLIM10,CMFLIM10 Animal11 AL Day9,0.494680161,0.677447,4.847652,12070.94709,2.816907621,0.600220808,0.7634375,3.5755045,6995.735987,1.879345294,#N/A,#N/A,#N/A,#N/A,#N/A,0.74254092,0.6040705,2.958977,3304.079212,1.212278278,0.515229122,0.573247,3.652812,9415.264024,2.098391983,#N/A,#N/A,#N/A,#N/A,#N/A
11,WT,2,Caudal BWM,Caudal,BWM,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.662044956,0.522789,2.9761215,5817.285316,1.355011592,#N/A,#N/A,#N/A,#N/A,#N/A,0.66320401,0.5965265,3.263213,4230.563199,1.508540306,0.669922876,0.6016945,2.97724,4041.428694,1.364307053,0.685340747,0.6411325,3.091285,3096.878762,1.387599316,#N/A,#N/A,#N/A,#N/A,#N/A
