Age,Nutrients,Animal,Exp,Animal ID,t h a1,t h t1,t h t2,t h i,t h tm,h h a1,h h t1,h h t2,h h i,h h tm,t bwm a1,t bwm t1,t bwm t2,t bwm i,t bwm tm,h bwm a1,h bwm t1,h bwm t2,h bwm i,h bwm tm,pm a1,pm t1,pm t2,pm i,pm tm,g a1,g t1,g t2,g i,g tm
11,DR,8,CMFLIM10,CMFLIM10 Animal8 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.585183163,0.745784,4.237813,20763.07008,2.194336424,0.486887062,0.796149,4.987462,42292.41071,2.946765928,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,10,CMFLIM10,CMFLIM10 Animal10 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.72272791,0.713833,2.93711,7317.721519,1.33028566,0.734266985,0.615038,2.718827,8342.891278,1.174084194,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,5,CMFLIM10,CMFLIM10 Animal5 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.365609679,0.760526,4.65211,19956.48313,3.229309223,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,10,CMFLIM14,CMFLIM14 Animal10 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.481086045,0.572243,5.354742,11069.86143,3.053948471,0.629715361,0.833366,4.30444,5365.204194,2.118651383,0.533231897,0.839903,4.543558,8641.824249,2.568651019,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,9,CMFLIM10,CMFLIM10 Animal9 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.496890246,0.62046,5.310297,44723.52466,2.979962739,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,2,CMFLIM12,CMFLIM12 Animal2 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.44518965,0.663576,4.675189,69720.5101,2.889260413,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,11,CMFLIM14,CMFLIM14 Animal11 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.55405487,0.551481,5.023637,2704.779756,2.545817189,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,4,CMFLIM10,CMFLIM10 Animal4 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.555662794,0.667453,4.610694,22837.3425,2.419581689,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,12,CMFLIM14,CMFLIM14 Animal12 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.592614964,0.601751,4.83906,6155.5334,2.32796728,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,10,CMFLIM12,CMFLIM12 Animal10 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.570741385,0.586321,4.632009,18081.27972,2.322967428,0.77977523,0.563276,2.996226,5600.289645,1.099071854,0.648900484,0.501884,3.067313,4199.769053,1.40260488,#N/A,#N/A,#N/A,#N/A,#N/A
