AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM10 Day1 AL Animal4,1,AL,4,CMFLIM10,0.639732157,0.5548655,2.945077,10687.58045,0.677202802,0.5758245,3.1142035,9566.999626,0.710009643,0.58454,2.9100555,5351.375233,0.7167541,0.6294365,3.0468735,11895.97296,0.710730208,0.603892,2.8386195,14161.83339,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal11,11,AL,11,CMFLIM12,0.729940104,0.579172,2.938507,6952.236025,0.751200768,0.510305,2.8129495,7435.690919,0.747783717,0.5491515,2.5325885,7894.334551,0.705834511,0.60617,2.5973275,6119.214088,0.75050572,0.5196385,2.4840335,9687.049394,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal12,11,AL,12,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.655565109,0.5506065,3.4003575,6093.148946,0.490395551,0.805272,5.6435305,12086.47919,0.763348685,0.5713655,2.9845425,5550.804324,0.714118901,0.57465,3.2665495,8543.062395,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day11 AL Animal1,11,AL,1,CMFLIM10,0.392797926,0.980733,5.5676965,22319.79368,0.581447119,0.512213,3.301186,13940.88961,#N/A,#N/A,#N/A,#N/A,0.629037209,0.6443815,3.375115,7779.950743,0.587998167,0.56134,3.527709,9316.539433,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal1,11,AL,1,CMFLIM12,0.635306266,0.6605195,3.5666025,10455.99845,0.696010022,0.5560835,3.0218265,8445.393176,0.719301555,0.5831935,3.302379,10035.85323,0.708916006,0.6086595,2.759798,9715.805835,0.702287912,0.559537,2.8858745,8683.16892,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal3,11,AL,3,CMFLIM12,0.544421102,0.565032,4.1400095,12362.57626,0.693467936,0.54815,2.959743,8378.090397,0.787839819,0.511609,3.499915,11705.29732,0.773833463,0.5367505,2.7263975,6635.500283,0.697838026,0.57562,2.6335615,12687.85702,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 AL Animal4,11,AL,4,CMFLIM14,0.647065141,0.6029275,3.2890855,11950.55793,0.551821351,0.7115245,3.7365495,6495.30722,0.672447262,0.52777,2.86169,5331.134806,0.758328557,0.5785875,2.946231,6426.560125,0.440046062,0.755615,4.601246,3594.709567,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal5,11,AL,5,CMFLIM12,0.636372076,0.527699,3.663272,8473.414531,0.698876671,0.5459885,3.4651775,3193.27122,#N/A,#N/A,#N/A,#N/A,0.730693333,0.50384,2.848512,2653.726576,0.67392398,0.5781345,2.9623085,5571.828731,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 AL Animal5,11,AL,5,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.444965721,2.3870545,9.7155875,9852.628309,0.765833505,0.52781,3.148865,3444.786952,0.721028211,0.597133,3.444125,2768.979663,0.417616413,0.673001,6.3833805,5111.925038,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 AL Animal8,11,AL,8,CMFLIM12,0.422660475,0.7966555,5.306871,17410.78243,0.723509354,0.534808,2.864807,8220.547184,0.463952823,0.521061,5.5237435,13183.6964,0.728857823,0.5377095,2.538332,9316.180286,0.720262625,0.5767355,2.7881535,10286.06744,#N/A,#N/A,#N/A,#N/A
