na1,nt1,nt2,ni,Group
0.776358474,0.5544565,2.541851,8835.640105,HM
0.777912351,0.56179,2.73845,8525.229531,HM
0.751067344,0.600706,2.6625765,7226.753986,HM
0.781078245,0.598953,2.898356,6209.276743,HM
0.750773639,0.519718,2.574651,5765.547332,HM
0.73295383,0.543544,2.6489455,6409.483189,HM
0.762792648,0.5746045,2.8566955,7115.825224,HM
0.78323148,0.5454525,2.6776165,6330.148428,HM
0.760885217,0.5621275,2.810469,8546.231212,HM
0.809308299,0.4558655,2.9030545,8816.06839,HM
0.760019016,0.6080755,2.7128505,7129.504401,HM
0.732444528,0.6626925,3.1934085,13011.35691,HM
0.718271032,0.580983,3.0620365,6310.624479,HM
0.698468586,0.5037245,2.97707,6299.385371,HM
0.672885904,0.607582,3.235105,6234.131947,HM
0.682894717,0.5527355,2.7978195,9716.883772,HM
0.801991413,0.533873,2.6058035,10142.27554,HM
0.766073606,0.558424,2.674329,5436.636557,HM
0.724723238,0.5687035,2.898382,5436.636557,HM
0.765841532,0.555352,2.685991,6565.241693,HM
0.656766176,0.636329,3.335149,3642.141247,HM
0.756996315,0.597396,2.8945275,4211.290642,HM
0.81347775,0.50982,2.5761455,4990.389179,HM
0.838464042,0.50908,2.928157,4719.169606,HM
0.733357144,0.5654545,3.0658075,3519.951547,HM
0.704721948,0.515882,2.713613,2973.305781,HM
0.753928251,0.483895,2.508867,3270.304872,HM
0.727286786,0.6254755,2.9119815,3270.304872,HM
0.703742025,0.600335,2.9097225,2990.796235,HM
0.763035921,0.5440805,2.837136,8638.44323,HM
0.75805982,0.591101,2.9847635,6310.551155,HM
0.648114921,0.5592615,3.9154355,16558.1571,LM
0.49881796,0.6933695,3.7757225,12935.61209,LM
0.786978894,0.48028,2.87069,2090.990434,LM
0.779611187,0.5569655,2.7911025,6228.855931,LM
0.769207962,0.6512675,3.0396115,8401.334077,LM
0.762471806,0.5330545,2.8840965,10698.98047,LM
0.75125408,0.5870145,2.575849,6609.636898,LM
0.784989208,0.5476775,3.1611695,4941.182292,LM
0.771467767,0.523039,3.5491165,6775.493407,LM
0.673844395,0.512845,3.707316,7369.909842,LM
0.715057177,0.6035425,3.183275,8454.304586,LM
0.746499345,0.543796,3.0711265,13908.16613,LM
0.691387,0.6382185,3.2501805,11247.19744,LM
0.735415171,0.567792,3.435938,11990.64527,LM
0.612111731,0.5688485,4.65654,17168.32113,LM
0.597290596,0.5486885,4.0047505,18502.3582,LM
0.613194724,0.619096,4.856689,18372.06302,LM
0.528717009,0.731355,5.1977555,31259.80686,LM
0.795880579,0.5281765,2.578516,10040.98588,LM
0.718972869,0.6235075,3.551832,8778.481385,LM
0.773164432,0.530139,3.4526995,9292.353544,LM
0.769903142,0.494739,2.6876705,7093.827783,LM
0.772168158,0.517488,2.759734,9616.718658,LM
0.74761168,0.546777,2.6871715,7830.019881,LM
0.698491175,0.642556,3.2830215,9459.638329,LM
