a1,t1,t2,i,Group
0.687964174,-0.244686566,-0.968242365,0.076052647,HM
0.711780094,-0.106682028,-0.617641558,0.011787183,HM
0.300332771,0.625653773,-0.752949013,-0.257041072,HM
0.760303032,0.592665165,-0.332476462,-0.467693196,HM
0.295831221,-0.898408615,-0.909749156,-0.559560158,HM
0.022711057,-0.450042061,-0.777257578,-0.426243706,HM
0.480043841,0.134466012,-0.406770863,-0.280007069,HM
0.793305176,-0.414127196,-0.726127736,-0.442668679,HM
0.45080908,-0.100330827,-0.489207947,0.01613524,HM
1.192978656,-2.100008773,-0.324097488,0.072000641,HM
0.437533014,0.764335773,-0.663293903,-0.277175018,HM
0.014905101,1.792138848,0.193699381,0.940566936,HM
-0.202328852,0.254499004,-0.040580189,-0.446710795,HM
-0.505836442,-1.199380262,-0.19210346,-0.44903767,HM
-0.897936397,0.755048906,0.268057981,-0.46254733,HM
-0.744533594,-0.277072986,-0.511766174,0.258499823,HM
1.080834407,-0.632034546,-0.854193982,0.346570274,HM
0.530330339,-0.170024672,-0.731990432,-0.627655788,HM
-0.103437356,0.023418793,-0.332430096,-0.627655788,HM
0.526773394,-0.227834713,-0.711193243,-0.39399644,HM
-1.144999806,1.296020673,0.446469403,-0.999176873,HM
0.391204762,0.563364959,-0.33930394,-0.881343742,HM
1.256882884,-1.08467287,-0.907083969,-0.720044054,HM
1.639842105,-1.098598466,-0.279331458,-0.776195658,HM
0.028892559,-0.037722101,-0.033855254,-1.024474264,HM
-0.409992584,-0.970595893,-0.661934114,-1.137648384,HM
0.344181243,-1.572539189,-1.027063707,-1.07615955,HM
-0.064146439,1.091775462,-0.308177706,-1.07615955,HM
-0.425011641,0.618672157,-0.312206247,-1.13402727,HM
0.483772431,-0.439946004,-0.441651898,0.035226239,HM
0.407504862,0.444903301,-0.178383414,-0.446725976,HM
-1.277595626,-0.154264284,1.481311468,1.674874262,LM
-3.565836227,2.369430074,1.232157146,0.924885202,LM
0.850740939,-1.640567607,-0.381814058,-1.320317435,LM
0.737817768,-0.197471269,-0.523744799,-0.463639644,LM
0.578369902,1.577138937,-0.080571355,-0.013863357,LM
0.475126369,-0.647437384,-0.35790585,0.461826981,LM
0.303194831,0.36800202,-0.907612727,-0.384805134,LM
0.820245474,-0.372256316,0.136206619,-0.73023154,LM
0.613005419,-0.835912798,0.828043969,-0.35046724,LM
-0.883245823,-1.027747292,1.110165813,-0.227402979,LM
-0.251586877,0.679032088,0.175628011,-0.002896674,LM
0.230320088,-0.445299831,-0.024369724,1.126236707,LM
-0.614374302,1.331577988,0.294942566,0.575326393,LM
0.060435472,0.006265846,0.626209406,0.729245182,LM
-1.829408339,0.026147457,2.802945025,1.801198807,LM
-2.056568508,-0.353230941,1.640589547,2.077389498,LM
-1.812809551,0.971723652,3.159876652,2.050413998,LM
-3.107580296,3.08425538,3.768110621,4.718611873,LM
0.987175042,-0.739233407,-0.902856587,0.325599897,LM
-0.191571955,1.054740904,0.832886601,0.064218863,LM
0.639009818,-0.70230235,0.656100684,0.17060774,LM
0.589024767,-1.368472753,-0.708198141,-0.284561282,LM
0.623740153,-0.940373586,-0.579685172,0.237762265,LM
0.247368594,-0.389202261,-0.709088022,-0.132144675,LM
-0.505490226,1.413202681,0.353508892,0.205241336,LM
