"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "full.adj.p" "actualLogFC" "stars"
"g.a1" -0.00888767863636367 0.692366942863636 -0.987546008283693 0.329002203782239 0.411252754727799 -7.26154560465523 1 -0.0128368356887913 "ns"
"g.i" 1005.92247963636 5994.66302540909 1.12079836240495 0.268709904194905 0.411252754727799 -7.12170868323695 1 0.168198425785418 "ns"
"g.t1" 0.00250090909090909 0.604024204545455 0.137497352462785 0.891291466171895 0.891291466171895 -7.74448467205631 1 0.00414041795818392 "ns"
"g.t2" 0.0533846818181814 2.92651822727273 1.11664641873027 0.27046159553083 0.411252754727799 -7.12631809821438 1 0.0182422107441139 "ns"
"g.tm" 0.0446827173636363 1.32107012772727 1.249879190544 0.21822918062817 0.411252754727799 -6.9704213092838 1 0.0338263479907828 "ns"
"pm.a1" 0.0245187189880952 0.702898829730769 2.42397180092424 0.0189951633336991 0.0474879083342478 -5.15478313979967 0.151961306669593 0.0349327011774297 "*"
"pm.i" 456.801791035714 10901.1499764231 0.521462991386408 0.604337025406566 0.604337025406566 -7.84682815548592 1 0.0419778087338435 "ns"
"pm.t1" -0.0380539196428572 0.590537240384615 -3.24353376196917 0.00210186454887054 0.0105093227443527 -3.12018614721659 0.0336298327819287 -0.0643023243027309 "*"
"pm.t2" 0.086850574404762 2.57198492307692 1.73246629677081 0.089330088275929 0.111662610344911 -6.50010079082178 0.357320353103716 0.0338150528514493 "ns"
"pm.tm" -0.0431606591011904 1.17288538805769 -2.00418641636495 0.0504592341982339 0.0840987236637232 -6.01672563968672 0.269115915723914 -0.0367508282909888 "ns"
"t.bwm.a1" 0.0191879482833333 0.730443317018519 2.15448094332911 0.0358364779957683 0.0597274633262804 -5.57878054713457 0.191127882644097 0.0263088178070993 "ns"
"t.bwm.i" -317.422190916667 5921.57316746296 -0.556082439915294 0.580529649609711 0.580529649609711 -7.68437749919983 1 -0.0534579348542184 "ns"
"t.bwm.t1" -0.0330920625 0.594804916666667 -2.40386222477661 0.019806816186432 0.0495170404660799 -5.05292765671101 0.158454529491456 -0.0554779481336999 "*"
"t.bwm.t2" 0.122564145833334 2.88027512962963 2.77812026539605 0.00757874359633803 0.0378937179816902 -4.17917703906116 0.121259897541409 0.0426602342446997 "*"
"t.bwm.tm" -0.028442940675 1.210101944 -1.00050268964659 0.321681240337265 0.402101550421582 -7.33676145016863 1 -0.023475007739332 "ns"
"t.h.a1" 0.00637960863043484 0.65700593409434 0.816510804643327 0.41799068601576 0.433428377505312 -7.83468475902552 1 0.00971643020665936 "ns"
"t.h.i" -916.791167795652 10036.4445158302 -0.953835947841058 0.344648109089593 0.433428377505312 -7.71272978550026 1 -0.0908609450940825 "ns"
"t.h.t1" -0.019064686231884 0.585489537735849 -1.81507683498919 0.07537111279174 0.3768555639587 -6.5457879475865 1 -0.0324949495583876 "ns"
"t.h.t2" 0.0303681601449277 2.98973848113208 0.965844018891143 0.338662024291233 0.433428377505312 -7.7011957495716 1 0.0101643691816535 "ns"
"t.h.tm" -0.0222787288188406 1.41101672643396 -0.789555748036616 0.433428377505312 0.433428377505312 -7.85646150180108 1 -0.0157730127877931 "ns"
