"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "full.adj.p" "actualLogFC" "stars"
"g.a1" -0.0844250634285713 0.639280871666667 -2.01045539404554 0.0715006047062324 0.119167674510387 -4.19543485763719 0.381336558433239 -0.133731049263075 "ns"
"g.i" 1280.3492606 6728.93612258333 0.526490877913882 0.609779054518032 0.609779054518032 -5.76695292598341 1 0.187855685583078 "ns"
"g.t1" 0.0526242857142858 0.6343305 1.07382995443987 0.307590258577334 0.384487823221667 -5.35211169772939 1 0.0824374161373075 "ns"
"g.t2" 1.21615097142857 3.4834025 2.80321832151167 0.0183225458600402 0.0916127293002008 -3.01121293256645 0.293160733760642 0.342568258856118 "ns"
"g.tm" 0.79473185 1.70943235683333 2.25608582420531 0.0471340854829298 0.117835213707324 -3.83810459841704 0.377072683863438 0.45527407185996 "ns"
"pm.a1" -0.110203552426471 0.648758523111111 -3.40661737710959 0.00143260482220143 0.00238767470366905 -1.35764242606206 0.00764055905174097 -0.173906873498403 "**"
"pm.i" 3706.81501044748 11107.9218232444 0.970469592224225 0.337214174442976 0.337214174442976 -6.01414889231422 1 0.32342166051652 "ns"
"pm.t1" 0.0423805315126051 0.617617244444444 1.4526502577276 0.153545197738818 0.191931497173523 -5.45057456188874 0.614180790955273 0.0680749762392847 "ns"
"pm.t2" 1.01500519432773 3.36312438888889 3.44408787359686 0.001285666359098 0.00238767470366905 -1.25737891332401 0.00764055905174097 0.293149036064969 "**"
"pm.tm" 0.869791847745798 1.70826085297778 3.55281521484849 0.000936410627850434 0.00238767470366905 -0.963039215256065 0.00764055905174097 0.488845877907815 "**"
"t.bwm.a1" -0.135984308772917 0.662752050677419 -5.84061815976213 2.24272319091668e-07 3.73787198486114e-07 6.62785248052965 1.19611903515556e-06 -0.205221728443485 "****"
"t.bwm.i" 8651.01523820416 10043.0385391774 3.13010923924115 0.00269480453066624 0.0033685056633328 -2.38629431471062 0.010779218122665 0.936453089909074 "**"
"t.bwm.t1" 0.0229635239583333 0.593318008064516 1.30500331480245 0.196857704589201 0.196857704589201 -6.11022060108109 0.629944654685443 0.0387325855193125 "ns"
"t.bwm.t2" 1.35984022291667 3.6813624516129 7.194380539814 1.14576303325326e-09 5.7288151662663e-09 11.7971188219248 1.83322085320522e-08 0.375965820814335 "****"
"t.bwm.tm" 0.972703157425 1.73603173451613 6.09443181808317 8.44842447742664e-08 2.11210611935666e-07 7.58165259529339 6.75873958194131e-07 0.581241765978938 "****"
"t.h.a1" -0.0815676747423076 0.61858512969697 -2.61958640735426 0.013471108497797 0.0168388856222463 -3.2679720002831 0.0538844339911882 -0.133931810409982 "*"
"t.h.i" 6213.32146386154 10128.0344484242 3.11229839875511 0.00395249046107068 0.0098812261526767 -2.15730756695587 0.0316199236885654 0.592767607563886 "**"
"t.h.t1" 0.0448151846153846 0.619717666666667 1.32183812454014 0.19582652180003 0.19582652180003 -5.51554104318926 0.626644869760095 0.0717958855085577 "ns"
"t.h.t2" 0.867261321153847 3.49033992424242 3.41316430952732 0.00179620460801857 0.00898102304009287 -1.43110661358463 0.0287392737282972 0.243287663174151 "**"
"t.h.tm" 0.6378592433 1.77855351442424 2.84637822013573 0.00774755505227297 0.0129125917537883 -2.77029225635397 0.0413202936121225 0.348997142311024 "*"
