"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "full.adj.p" "actualLogFC" "stars"
"g.a1" -0.128539650545454 0.682334423086956 -4.77371632713292 9.99552471599812e-05 0.000166592078599969 0.794580585437896 0.0005330946515199 -0.206841863160965 "***"
"g.i" -3179.86127922727 6359.369427 -0.983670951402901 0.336367261808259 0.420459077260323 -6.7565007852317 1 -0.672145856007728 "ns"
"g.t1" -0.0492026590909091 0.603135413043478 -0.818104235404907 0.422394978837597 0.422394978837597 -6.90611664806651 1 -0.0847845547111255 "ns"
"g.t2" 1.23278093181818 3.00680973913043 9.75458271572614 2.71449993158179e-09 1.3572499657909e-08 11.4090109117274 4.34319989053087e-08 0.348850686694464 "****"
"g.tm" 0.800056085590909 1.3781965336087 7.92621312286556 8.91281512061791e-08 2.22820378015448e-07 7.87718460679396 7.13025209649433e-07 0.467212614346863 "****"
"pm.a1" -0.134027737747899 0.663582460644444 -5.05325513880887 8.41275433538361e-06 1.42741146264712e-05 3.37030600990935 4.5677166804708e-05 -0.207833067818626 "****"
"pm.i" 2302.40292412605 11981.7782325111 0.67937486149636 0.500524089471827 0.500524089471827 -6.4694878330407 1 0.188303653992498 "ns"
"pm.t1" 0.0710134600840336 0.5998012 3.04330917811311 0.00397230278648953 0.00496537848311192 -2.4781661055087 0.0158892111459581 0.11683893414861 "**"
"pm.t2" 1.38261337289916 3.13439041111111 5.58672287912655 1.43478371670121e-06 7.17391858350607e-06 5.08129504214966 2.29565394672194e-05 0.424821335817629 "****"
"pm.tm" 1.0964995854958 1.5671982606 5.04781832740158 8.56446877588275e-06 1.42741146264712e-05 3.35305384649733 4.5677166804708e-05 0.668355305211913 "****"
"t.bwm.a1" -0.142018102439583 0.665671628258064 -6.19203582848512 5.7915080482603e-08 9.65251341376716e-08 7.86377451316662 3.08880429240549e-07 -0.213420371576476 "****"
"t.bwm.i" 8448.51701627083 10141.0215497903 3.10999647144722 0.00285762600571882 0.00357203250714852 -2.55638788553886 0.0114305040228753 0.900793492632096 "**"
"t.bwm.t1" 0.0243320572916666 0.592655814516129 1.42187961875318 0.160221295937351 0.160221295937351 -6.07792936791085 0.512708146999522 0.0410889514347624 "ns"
"t.bwm.t2" 1.40460157291667 3.65970373387097 8.15585755372453 2.59648681337258e-11 1.29824340668629e-10 15.4610066037474 4.15437890139613e-10 0.391102870410934 "****"
"t.bwm.tm" 1.00923391559167 1.71835556120968 6.45755097958843 2.06295567195085e-08 5.15738917987712e-08 8.87762032518569 1.65036453756068e-07 0.611292539532901 "****"
"t.h.a1" -0.0906242681923077 0.632376408930233 -4.0897574354474 0.000195439025211029 0.000325731708685049 0.287223649862175 0.00104234146779216 -0.147753696549271 "***"
"t.h.i" 4255.09207556154 10925.0149305349 2.45838395242018 0.0182459692069695 0.0182459692069695 -3.94779124097669 0.0583871014623025 0.365659322062272 "*"
"t.h.t1" 0.0696622012820514 0.598276848837209 2.8010008809517 0.00772320224194161 0.00965400280242701 -3.16916978099073 0.0308928089677664 0.113941444536007 "**"
"t.h.t2" 1.01303572948718 3.30918373255814 6.16085970860112 2.50386497645926e-07 1.25193248822963e-06 6.74510949576527 4.00618396233482e-06 0.290690452382239 "****"
"t.h.tm" 0.763786275166667 1.63226072853488 4.98986270990937 1.14573307453786e-05 2.86433268634465e-05 3.02159724899489 9.16586459630287e-05 0.435047599132612 "****"
